,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
578,Startup,https://angel.co/company/nursegrid,NurseGrid,"
Scheduling and Staffing Technology Built for Nurses
",2014-09-01,Portland,Hospitals,11-50,Seed,3760000,nursegrid.com,5.734246575342466,655709.5078834209,1,0,25.0
580,Startup,https://angel.co/company/kumu-wellness,Kumu Wellness,"
Get a real Coach who’s dedicated to helping you achieve your health & fitness goals
",2015-02-01,Los Angeles,Fitness,,Seed,3200000,getkumu.com,5.315068493150685,602061.8556701031,1,0,
581,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",2015-05-01,San Diego,Assisitive Technology,11-50,Seed,4080000,aira.io,5.071232876712329,804538.0875202593,1,0,25.0
582,Startup,https://angel.co/company/the-right-place-1,The Right Place,"
Matching Patients to the right place of care. Referral and bed management for  LTC
",2015-10-01,Houston,Hospitals,1-10,Seed,3600000,therightplace.com,4.652054794520548,773851.5901060071,1,0,5.0
583,Startup,https://angel.co/company/wifi-metropolis-1,WIFI Metropolis,"
WIFI Metropolis is monetizing the vast amount of unused WiFi capacity globally
",2016-07-01,London,Health Care Information Technology,11-50,Seed,3200000,wifimetropolis.com,3.9013698630136986,820224.7191011236,1,0,25.0
585,Startup,https://angel.co/company/adverseevents,Advera Health Analytics,"
gold standard resource for drug safety knowledge and insight
",2011-04-01,Santa Rosa,SaaS,11-50,Series A,2965000,adverahealth.com,9.156164383561643,323825.55356074206,1,0,25.0
586,Startup,https://angel.co/company/seamless-medical-systems,Seamless Medical Systems,"
iPad patient registration and health information platform for use in medical practices
",2011-08-01,Santa Fe,Healthcare,1-10,-,3000000,seamlessmedical.com,8.821917808219178,340062.1118012422,1,0,5.0
588,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",2012-03-01,San Francisco,Health Care Information Technology,1-10,Seed,2500000,agilemd.com,8.238356164383562,303458.59660791483,1,0,5.0
589,Startup,https://angel.co/company/ringadoc,Ringadoc,"
The Frontline of Virtual Care
",2012-03-01,San Francisco,Personal Health,1-10,Acquired,2650000,ringadoc.com,8.238356164383562,321666.1124043897,1,0,5.0
590,Startup,https://angel.co/company/force-therapeutics,Force Therapeutics,"
Leveraging clinical data to create content that prepares patients for the  journey
",2012-08-01,New York City,Therapeutics,11-50,Series B,2600800,forcetherapeutics.com,7.8191780821917805,332618.0798878767,1,0,25.0
591,Startup,https://angel.co/company/benefitter,Benefitter,"
Fidelity for Healthcare
",2012-11-01,San Francisco,Insurance,11-50,Seed,2700000,benefitter.com,7.567123287671233,356806.6618392469,1,0,25.0
592,Startup,https://angel.co/company/kyron,Kyron,"
Big data for clinical insight
",2014-01-01,Palo Alto,Data Mining,11-50,Seed,3000000,kyron.com,6.4,468750.0,1,0,25.0
593,Startup,https://angel.co/company/connectrn,connectRN,"
Digital Nursing Marketplace
",2014-06-01,Baltimore,Hospitals,11-50,Series A,3100000,connectrn.com,5.986301369863014,517848.9702517162,1,0,25.0
594,Startup,https://angel.co/company/optimizehealth,optimize.health,"
optimize.health: Remote Patient Monitoring, Made Easy
",2015-08-01,Seattle,Artificial Intelligence,11-50,Seed,2850000,optimize.health,4.8191780821917805,591387.1517907903,1,0,25.0
595,Startup,https://angel.co/company/envoy-helloenvoy,Envoy - HelloEnvoy,"
Family Concierge Service
",2015-02-01,San Francisco,E-Commerce Platforms,11-50,Seed,3000000,helloenvoy.com,5.315068493150685,564432.9896907216,1,0,25.0
596,Startup,https://angel.co/company/zipdrug,Zipdrug,"
Powering the Pharmacy of the Future
",2015-10-01,New York City,Big Data Analytics,11-50,Seed,2600000,zipdrug.com,4.652054794520548,558892.8150765607,1,0,25.0
597,Startup,https://angel.co/company/pine-biotech,Pine Biotech,"
Bioinformatics for Personalized Medicine
",2015-05-01,New Orleans,Big Data Analytics,1-10,Seed,2550000,pine-biotech.com,5.071232876712329,502836.3047001621,1,0,5.0
598,Startup,https://angel.co/company/everlywell,EverlyWell,"
Next-Generation Health Testing Platform
",2015-10-01,Austin,Diagnostics,11-50,Seed,3000000,everlywell.com,4.652054794520548,644876.3250883393,1,0,25.0
599,Startup,https://angel.co/company/clarahealth,Clara,"
Empower patients to connect with the right clinical trial for them
",2015-11-01,San Francisco,Clinical Trials,1-10,Seed,3000000,clarahealth.com,4.567123287671233,656868.626274745,1,0,5.0
600,Startup,https://angel.co/company/elemeno-health,Elemeno Health,"
Point of Care Microlearning, as a Service. Bite-sized training and communication at your fingertips
",2016-04-01,Oakland,Training,11-50,Closed,3035000,elemenohealth.com,4.1506849315068495,731204.6204620461,1,0,25.0
601,Startup,https://angel.co/company/mdacne,MDacne (YC W17),"
Building the future of Dermatology, starting with acne
",2016-05-01,San Francisco,Mobile Health,1-10,Seed,2600000,mdacne.com,4.068493150684931,639057.239057239,1,0,5.0
602,Startup,https://angel.co/company/array-analytics-1,Array Analytics,"
Changing the Way Health Systems Think About Strategic Planning
",2016-08-01,Philadelphia,Health Care Information Technology,11-50,Seed,3000000,pivotal.co,3.8164383561643835,786073.223259153,1,0,25.0
603,Startup,https://angel.co/company/no-isolation,No Isolation,"
We create tailored communication tools to put an end to loneliness
",2017-05-01,Amsterdam,Robotics,51-200,Seed,2800000,noisolation.com,3.0684931506849313,912500.0,1,0,125.0
604,Startup,https://angel.co/company/fanfare-entertainment,Fanfare / Apollo Health Technologies,"
Fanfare has created an industry-leading mobile engagement platform
",2011-01-01,Burlingame,Celebrity,11-50,Closed,2100000,fanfareentertainment.com,9.402739726027397,223339.16083916085,1,0,25.0
605,Startup,https://angel.co/company/cloudprime-quickdrop,CloudPrime QuickDrop™,"
Endpoint Encryption for private delivery of files & application messages
",2011-07-01,San Francisco,Data Security,11-50,Series B,2000000,quickdropit.com,8.906849315068493,224546.2934481698,0,0,25.0
607,Startup,https://angel.co/company/healthcrowd,HealthCrowd,"
Industry's first end-to-end communications solution
",2013-03-01,San Mateo,Mobile Health,11-50,Seed,2100000,healthcrowd.com,7.238356164383561,290121.1203633611,1,0,25.0
608,Startup,https://angel.co/company/imagistx,Imagistx,"
World's only ultra-high frequency ultrasound product for the prostate
",2013-03-01,Toronto,Medical Devices,1-10,Series B,2000000,imagistxprostate.com,7.238356164383561,276305.82891748677,0,0,5.0
609,Startup,https://angel.co/company/careplanners,CarePlanners,"
Making life easier for family caregivers (90M+ Americans) (LearnVest for caregiving)
",2013-05-01,New York City,Professional Services,1-10,Seed,2050000,careplanners.com,7.071232876712329,289907.01278574194,1,0,5.0
610,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",2013-10-01,San Francisco,,1-10,Acquired,2300000,rise.us,6.652054794520548,345757.8253706755,1,0,5.0
611,Startup,https://angel.co/company/telepharm,TelePharm,"
Telemedicine platform for pharmacies (and everyone)
",2013-10-01,Iowa City,Video Chat,11-50,-,2500000,telepharm.com,6.652054794520548,375823.72322899505,1,0,25.0
612,Startup,https://angel.co/company/fitplan-technologies-inc,Fitplan,"
Get the exact training methods of influencers and athletes who inspire you
",2014-01-01,Vancouver,Fitness,11-50,Seed,2125000,fitplanapp.com,6.4,332031.25,1,0,25.0
614,Startup,https://angel.co/company/lawn-love,Lawn Love Lawn Care,"
Lawn care, made easy. (YC S14)
",2014-05-01,San Diego,Service Industries,51-200,Seed,2020000,lawnlove.com,6.071232876712329,332716.606498195,1,0,125.0
615,Startup,https://angel.co/company/diplopia,Vivid Vision,"
VR Vision Care Platform
",2015-06-01,San Francisco,Virtual Reality,11-50,Seed,2200000,seevividly.com,4.986301369863014,441208.7912087912,1,0,25.0
616,Startup,https://angel.co/company/i-human-patients,i-Human Patients,"
",2016-03-01,Sunnyvale,Education Technology,11-50,Series A,2000000,i-human.com,4.235616438356164,472186.28719275555,0,0,25.0
617,Startup,https://angel.co/company/klarismo,Klarismo,"
Your body, reimagined
",2015-01-01,London,Personal Health,1-10,Seed,2100000,klarismo.com,5.4,388888.8888888889,1,0,5.0
618,Startup,https://angel.co/company/neurogenica,Neurogenica,"
Systems Biology and genomics let us design curative treatments for Alzheimer's Disease
",2015-09-01,Palo Alto,Neuroscience,1-10,Seed,2500000,neuro-genica.com,4.734246575342466,528067.1296296297,1,0,5.0
619,Startup,https://angel.co/company/collectly,Collectly,"
Data-Driven Patient Billing Platform
",2016-06-01,Pasadena,Finance Technology,1-10,Seed,2020000,collectly.co,3.9835616438356163,507083.90646492434,1,0,5.0
620,Startup,https://angel.co/company/welltory,Welltory,"
AI Health Coach App People Love
",2016-10-01,San Francisco,Corporate Wellness,11-50,Seed,2430000,welltory.com,3.649315068493151,665878.3783783783,1,0,25.0
621,Startup,https://angel.co/company/captionhealth,Caption Health,"
Our vision is to move specialty diagnostics and decision-making to the poc for every patient exam
",2017-06-01,Brisbane,Diagnostics,11-50,Series A,2500000,captionhealth.com,2.9835616438356163,837924.7015610653,1,0,25.0
622,Startup,https://angel.co/company/medical-memory,Medical Memory,"
Healthcare video recording and sharing
",2016-07-01,Phoenix,Startups,1-10,Seed,2100000,themedicalmemory.com,3.9013698630136986,538272.4719101124,1,0,5.0
623,Startup,https://angel.co/company/bloomapi,BloomAPI (YC W17),"
Simplify Medical Practice Management
",2017-04-01,Seattle,Electronic Health Records,1-10,Seed,2400000,bloomtext.com,3.1506849315068495,761739.1304347826,1,0,5.0
624,Startup,https://angel.co/company/genoatelepsychiatry,Genoa Telepsychiatry,"
Increasing access to care in underserved communities
",2012-04-01,New York City,Video Chat,11-50,Seed,1700000,genoatelepsychiatry.com,8.153424657534247,208501.3440860215,0,0,25.0
625,Startup,https://angel.co/company/docphin,Docphin,"
The Bloomberg for Doctors
",2011-10-01,New York City,Mobile Health,1-10,Seed,1605000,docphin.com,8.654794520547945,185446.34377967712,0,0,5.0
626,Startup,https://angel.co/company/zenso,Lief Therapeutics,"
Smart patch for stress and anxiety
",2011-11-01,San Francisco,Medical Devices,1-10,Seed,1670000,getlief.com,8.56986301369863,194868.92583120207,0,0,5.0
627,Startup,https://angel.co/company/dorsata,Dorsata,"
Driving better clinical decisions that are informed by patient data and best practices
",2013-10-01,Washington DC,Health Care Information Technology,1-10,Seed,1745000,dorsata.com,6.652054794520548,262324.95881383854,0,0,5.0
629,Startup,https://angel.co/company/mindbloom,Mindbloom,"
Mobile Wellness Platform
",2013-10-01,Seattle,mHealth,11-50,Seed,1800000,mindbloom.com,6.652054794520548,270593.08072487643,0,0,25.0
630,Startup,https://angel.co/company/nurep,Nurep,"
Telesurgery - Stanford StartX Med
",2013-03-01,Palo Alto,Medical Devices,1-10,Seed,1800000,nurep.com,7.238356164383561,248675.24602573807,0,0,5.0
631,Startup,https://angel.co/company/lift-labs,Lift Labs,"
Active Stabilization for Parkinson's and Essential Tremor Patients
",2012-12-01,San Francisco,Medical Devices,1-10,Acquired,1900000,liftlabsdesign.com,7.484931506849315,253843.33821376282,0,0,5.0
632,Startup,https://angel.co/company/sense-health,Sense Health,"
Smart communication designed for healthcare
",2012-12-01,New York City,Mobile Health,11-50,Seed,2000000,sensehealth.com,7.484931506849315,267203.513909224,0,0,25.0
633,Startup,https://angel.co/company/medicast,Medicast,"
Care on-demand platform for hospitals and health systems (ACQUIRED)
",2013-02-01,Silicon Valley,Mobile Health,1-10,Acquired,1940000,medicast.com,7.315068493150685,265205.9925093633,0,0,5.0
634,Startup,https://angel.co/company/electronic-health-network,Electronic Health Network,"
Share Medical Records Securely
",2013-04-01,Charleston,Business Services,1-10,Seed,1900000,enhsc.com,7.153424657534247,265607.0471083876,0,0,5.0
635,Startup,https://angel.co/company/moves,Moves,"
Let your phone tell you how much you move
",2013-05-01,Helsinki,Fitness,1-10,Acquired,1600000,moves-app.com,7.071232876712329,226268.88802789617,0,0,5.0
636,Startup,https://angel.co/company/hyginex,Hyginex,"
Hand washing & quality monitoring system to reduce hospital acquired infections
",2013-07-01,Los Angeles,Medical Devices,11-50,Seed,2000000,hyginex.com,6.904109589041096,289682.5396825397,0,0,25.0
637,Startup,https://angel.co/company/vint,Vint,"
SaaS: a social booking platform 
",2013-10-01,San Francisco,Fitness,1-10,Seed,1800000,joinvint.com,6.652054794520548,270593.08072487643,0,0,5.0
638,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",2014-03-01,San Francisco,Communications Hardware,11-50,-,1845000,ava.me,6.238356164383561,295750.9881422925,0,0,25.0
639,Startup,https://angel.co/company/icmed,ICmed,"
Patient engagement and nimble TeleHealth platform connecting providers, patients and families
",2020-01-01,Baltimore,Mobile Health,1-10,Pre-Seed,1750000,icmedonline.com,0.3972602739726027,4405172.413793104,0,0,5.0
640,Startup,https://angel.co/company/medstack,MedStack,"
Accelerated HIPAA privacy compliance and secure data integration for healthcare apps
",2015-07-01,Toronto,Application Platforms,11-50,Seed,1800000,medstack.co,4.904109589041096,367039.10614525137,0,0,25.0
641,Startup,https://angel.co/company/advitam,AdVitam,"
Funerals made simple & affordable
",2016-01-01,Paris,Startups,1-10,Seed,1800000,advitam.fr,4.4,409090.90909090906,0,0,5.0
642,Startup,https://angel.co/company/finexio,Finexio,"
Commercial Payments Execution as a Service
",2016-02-01,Orlando,Legal,11-50,Seed,2000000,finexio.com,4.315068493150685,463492.0634920635,0,0,25.0
643,Startup,https://angel.co/company/iexhale,iExhale,"
Telemental Health App
",2016-04-01,Los Angeles,Personal Health,1-10,Seed,1860000,iexhale.com,4.1506849315068495,448118.8118811881,0,0,5.0
644,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",2011-05-01,Toronto,Insurance,1-10,Seed,1350000,titanfile.com,9.073972602739726,148777.1739130435,0,0,5.0
645,Startup,https://angel.co/company/care-at-hand,Care at Hand,"
Predictive Analytics Powered by Non-medical Staff
",2011-11-01,San Francisco,Mobile Health,1-10,Acquired,1350000,careathand.com,8.56986301369863,157528.77237851665,0,0,5.0
646,Startup,https://angel.co/company/touchsurgery,Touch Surgery,"
The OR in your Pocket
",2012-09-01,London,Health Care Information Technology,11-50,Acquired,1500000,touchsurgery.com,7.734246575342466,193942.61424017002,0,0,25.0
647,Startup,https://angel.co/company/breathometer,Breathometer,"
The World's First Consumer Breath Analysis Platform
",2013-01-01,Burlingame,Consumer Electronics,11-50,Seed,1540000,breathometer.com,7.4,208108.1081081081,0,0,25.0
648,Startup,https://angel.co/company/welltrackone,WellTrackONE,"
Provides exact report required by Medicare for Annual Wellness Visit (AWV)
",2013-03-01,Hilton Head Island,Health Care Information Technology,11-50,-,1500000,welltrackone.com,7.238356164383561,207229.37168811506,0,0,25.0
649,Startup,https://angel.co/company/credsimple,CredSimple,"
Helping healthcare organizations become more responsive to providers, members and patients
",2013-03-01,New York City,Hospitals,11-50,Seed,1500000,credsimple.com,7.238356164383561,207229.37168811506,0,0,25.0
651,Startup,https://angel.co/company/queuedr,QueueDr,"
Healthcare's #1 automation software
",2013-10-01,Austin,Mobile Health,11-50,Series A,1530000,queuedr.com,6.652054794520548,230004.118616145,0,0,25.0
652,Startup,https://angel.co/company/changerscom,Changers.com,"
Get active against Climate Change and get paid for it
",2016-03-01,Berlin,Corporate Wellness,11-50,Series A,1500000,changers.com,4.235616438356164,354139.71539456665,0,0,25.0
653,Startup,https://angel.co/company/sparo-health,Sparo,"
Helping seniors regain their strength and independence
",2013-08-01,St. Louis,Medical Devices,1-10,Seed,1325000,sparohealth.com,6.8191780821917805,194304.94174367216,0,0,5.0
654,Startup,https://angel.co/company/bridgecrest-medical,Bridgecrest Medical,"
Prevent accidents before they happen! (wearables)
",2014-03-01,San Francisco,SaaS,1-10,Acquired,1400000,bridgecrestmed.com,6.238356164383561,224418.09398331138,0,0,5.0
655,Startup,https://angel.co/company/episona,Episona,"
Opening our minds to men's reproductive health
",2014-01-01,Los Angeles,Medical Devices,1-10,Seed,1375000,episona.com,6.4,214843.75,0,0,5.0
656,Startup,https://angel.co/company/savvydox,SavvyDox,"
DropBox on Steroids
",2014-01-01,Ottawa,Legal,1-10,Seed,1505000,savvydox.com,6.4,235156.25,0,0,5.0
657,Startup,https://angel.co/company/restorehealth,Restore Health,"
Reverse chronic disease with software
",2014-01-01,Palo Alto,Corporate Wellness,11-50,Seed,1500000,restorehealth.com,6.4,234375.0,0,0,25.0
658,Startup,https://angel.co/company/amstatz,amSTATZ,"
Cloud-based software for personal trainers and studios
",2014-02-01,Chicago,Fitness,11-50,Seed,1450000,amstatz.com,6.315068493150685,229609.54446854664,0,0,25.0
659,Startup,https://angel.co/company/onelife-me,Onelife Health,"
The medical network that empowers women to take ownership of their maternity care
",2014-03-01,Hamburg,Women-Focused,1-10,Seed,1500000,onelife.me,6.238356164383561,240447.9578392622,0,0,5.0
660,Startup,https://angel.co/company/e-skin-displays-1,e-skin Displays,"
Introducing worlds first flexible full color display,a few microns thick,shows image/video
",2015-10-01,Pleasanton,DOD/Military,1-10,Seed,1450000,eskindisplays.com,4.652054794520548,311690.2237926973,0,0,5.0
661,Startup,https://angel.co/company/greenspace,Greenspace Mental Health,"
Transforming how mental healthcare is accessed, measured and delivered
",2015-10-01,Kelowna,Technology,11-50,Seed,1500000,greenspacehealth.ca,4.652054794520548,322438.16254416964,0,0,25.0
662,Startup,https://angel.co/company/phr,PHR Plus,"
Connected Health Solutions, Improving Patient Outcomes
",2015-10-01,Phoenix,Internet of Things,1-10,Seed,1360000,phrplus.com,4.652054794520548,292343.9340400471,0,0,5.0
663,Startup,https://angel.co/company/health-vectors-1,Health Vectors,"
Change the way health data is looked at. Personalize it for better health outcomes
",2016-01-01,Bengaluru,Predictive Analytics,11-50,Series A,1500000,healthvectors.in,4.4,340909.0909090909,0,0,25.0
664,Startup,https://angel.co/company/watsi,Watsi,"
Building technology to finance healthcare for everyone
",2013-07-01,Remote,Crowdfunding,11-50,Seed,1200000,watsi.org,6.904109589041096,173809.52380952382,0,0,25.0
665,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",2014-03-01,London,Fast-Moving Consumer Goods,11-50,Seed,1020000,digital-mr.com,6.238356164383561,163504.6113306983,0,0,25.0
667,Startup,https://angel.co/company/colowrap,ColoWrap,"
Delivering quicker, easier, more effective colonoscopies
",2015-03-01,Durham,Medical Devices,1-10,Series A,1225000,colowrap.com,5.238356164383561,233851.98744769875,0,0,5.0
668,Startup,https://angel.co/company/telmedx,telmedx,"
High-resolution video and diagnostic image capture from mobile phones or tablets
",2013-02-01,Jackson,Health Care Information Technology,1-10,Seed,1300000,telmedx.com,7.315068493150685,177715.35580524345,0,0,5.0
669,Startup,https://angel.co/company/biomed,BioMed,"
VISION save 1001 lives a day via personalized medicine by point of care diagnostic testing
",2013-05-01,Rochester,Mobile Health,1-10,Seed,1250000,biomed.mn,7.071232876712329,176772.56877179389,0,0,5.0
670,Startup,https://angel.co/company/babybe,BABYBE,"
Keep kangaroo caring
",2013-06-01,Edinburgh,Medical Devices,1-10,Series B,1165500,babybemedical.com,6.986301369863014,166826.47058823527,0,0,5.0
671,Startup,https://angel.co/company/petbrosia,Petbrosia,"
Nutrition Designed For YOUR Pet
",2013-06-01,Cincinnati,Pets,1-10,Seed,1160000,petbrosia.com,6.986301369863014,166039.2156862745,0,0,5.0
672,Startup,https://angel.co/company/seamlessmd,SeamlessMD,"
Educate, engage and monitor patients through surgery
",2013-06-01,Toronto,Hospitals,11-50,Seed,1100000,seamless.md,6.986301369863014,157450.98039215687,0,0,25.0
673,Startup,https://angel.co/company/birdi,Birdi,"
Elegant Smart Home Products
",2013-08-01,San Francisco,Consumer Electronics,1-10,Seed,1200000,birdihome.com,6.8191780821917805,175974.28686219367,0,0,5.0
674,Startup,https://angel.co/company/annexon-1,Annexon,"
Innovative neurodegeneration therapeutics by targeting complement
",2013-08-01,Palo Alto,Pharmaceuticals,1-10,Seed,1167000,gust.com,6.8191780821917805,171134.99397348333,0,0,5.0
675,Startup,https://angel.co/company/filelife,FileLife,"
Secure and Remain in Control of the Files, Documents and Photos you Share
",2013-11-01,Redding,Legal,1-10,Seed,1200000,web.filelife.com,6.567123287671233,182728.41051314143,0,0,5.0
676,Startup,https://angel.co/company/narrativedx,NarrativeDx,"
The AI platform for Patient Experience Improvement
",2014-01-01,Austin,Hospitals,11-50,Seed,1250000,narrativedx.com,6.4,195312.5,0,0,25.0
677,Startup,https://angel.co/company/accel-diagnostics-2,Accel Diagnostics,"
Blood Tests Made Easy - Anytime, Anywhere - for Better Patient Care
",2014-03-01,Berkeley,Diagnostics,1-10,Seed,1175000,acceldx.com,6.238356164383561,188350.90030742204,0,0,5.0
678,Startup,https://angel.co/company/branching-minds,Branching Minds,"
Better student outcomes through learning science + technology 
",2014-03-01,New York City,Neuroscience,1-10,Seed,1170000,branchingminds.com,6.238356164383561,187549.4071146245,0,0,5.0
679,Startup,https://angel.co/company/tracktrain,Vault RMS,"
Utilizing data to save firefighters
",2014-06-01,San Diego,Governments,1-10,Acquired,1300000,vaultexposuretracker.com,5.986301369863014,217162.471395881,0,0,5.0
680,Startup,https://angel.co/company/iscribes,iScribes,"
Medical documentation for the modern physician
",2015-07-01,Durham,SaaS,51-200,Seed,1040000,iscribes.co,4.904109589041096,212067.03910614524,0,0,125.0
681,Startup,https://angel.co/company/etreat-medical-diagnostics,eTreat Medical Diagnostics,"
We turn smartphones into measurement imaging devices for orthopaedic and skin conditions
",2014-10-01,Vancouver,Medical Devices,11-50,Seed,1178128,etreatmd.com,5.652054794520548,208442.42365487156,0,0,25.0
682,Startup,https://angel.co/company/yosi,Yosi,"
Digital patient engagement platform 
",2015-04-01,New York City,Mobile Health,1-10,Pre-Seed,1250000,yosicare.com,5.153424657534247,242557.15045188728,0,0,5.0
683,Startup,https://angel.co/company/spirohome,Spirohome,"
Digital health platform for asthma, COPD and cystic fibrosis patients
",2017-05-01,Ankara,Digital Health,11-50,Seed,1110220,spirohome.io,3.0684931506849313,361812.7678571429,0,0,25.0
684,Startup,https://angel.co/company/doctorbase-acquired-by-kareo,DoctorBase (acquired by Kareo),"
Patient Engagement Software
",2010-12-01,San Francisco,Heathcare,11-50,Seed,1000000,DoctorBase.com,9.487671232876712,105399.942246607,0,0,25.0
685,Startup,https://angel.co/company/venga,Venga,"
Empowering Businesses to Enhance Customer Experiences
",2011-11-01,Washington DC,Fitness,11-50,Acquired,1000000,getvenga.com,8.56986301369863,116687.97953964195,0,0,25.0
686,Startup,https://angel.co/company/xetal,Xetal,"
Indoor localisation without wearables
",2013-04-01,Belgium,Electronics,1-10,Seed,1000000,xetal.eu,7.153424657534247,139793.18268862503,0,0,5.0
688,Startup,https://angel.co/company/movecoach,Runcoach,"
The real person app
",2012-12-01,Burlingame,Corporate Wellness,11-50,Seed,1000000,runcoach.com,7.484931506849315,133601.756954612,0,0,25.0
689,Startup,https://angel.co/company/ikkos,IKKOS,"
Learn Any Physical Movement Through Your Smartphone
",2013-02-01,Seattle,Wearables,1-10,Seed,1000000,ikkos.com,7.315068493150685,136704.11985018727,0,0,5.0
690,Startup,https://angel.co/company/meducation,Meducation,"
Educational LinkedIn For Medics
",2013-07-01,Birmingham,Technology,1-10,Seed,1000000,meducation.net,6.904109589041096,144841.26984126985,0,0,5.0
691,Startup,https://angel.co/company/luminate-health,Luminate Health,"
Helping patients access and understand their lab results
",2015-02-01,San Mateo,Digital Health,1-10,Seed,1000000,luminatehealth.com,5.315068493150685,188144.3298969072,0,0,5.0
692,Startup,https://angel.co/company/biogeniq-1,BIOGENIQ,"
Provide personalized medicine ecosystem
",2013-09-01,Montreal,Nutrition,1-10,Seed,980000,BIOGENIQ.ca,6.734246575342466,145524.8169243287,0,0,5.0
693,Startup,https://angel.co/company/zendyhealth,ZendyHealth,"
Affordable health and dental care, made easy
",2013-10-01,Los Angeles,Finance Technology,1-10,Seed,1000000,zendyhealth.com,6.652054794520548,150329.48929159803,0,0,5.0
695,Startup,https://angel.co/company/goodmouth,GoodMouth,"
Oral Care. Delivered
",2014-06-01,New York City,Subscription Businesses,1-10,Seed,1005000,goodmouth.com,5.986301369863014,167883.29519450798,0,0,5.0
696,Startup,https://angel.co/company/lift-digital,LIFT Digital,"
virtual personal training & marketplace
",2015-02-01,Montreal,Fitness,11-50,Seed,1000000,liftsession.com,5.315068493150685,188144.3298969072,0,0,25.0
697,Startup,https://angel.co/company/veristride-1,Veristride,"
better living and healing through data
",2015-02-01,Salt Lake City,Internet of Things,1-10,Seed,1000000,veristride.com,5.315068493150685,188144.3298969072,0,0,5.0
698,Startup,https://angel.co/company/fitdel,FitDel,"
Premium fitness equipment rentals for the B2B & B2C circular economy
",2015-03-01,Austin,Fitness,1-10,Seed,984000,fitdel.com,5.238356164383561,187845.18828451884,0,0,5.0
699,Startup,https://angel.co/company/dibs-technology,Dibs Technology,"
The all-in-one software solution for fitness studios to maximize revenue through pricing
",2015-12-01,New York City,Fitness,1-10,Seed,1000000,ondibs.com,4.484931506849315,222968.84544899207,0,0,5.0
700,Startup,https://angel.co/company/fitpassindia,FITPASS,"
All-access pass to 3500+ gyms & fitness studios, personal nutritionists & workout videos
",2016-01-01,Kolkata,Fitness,11-50,Seed,1000000,fitpass.co.in,4.4,227272.72727272726,0,0,25.0
701,Startup,https://angel.co/company/storiicare,StoriiCare,"
Senior Care co-ordination platform
",2016-02-01,San Francisco,mHealth,1-10,Pre-Seed,1020000,storiicare.com,4.315068493150685,236380.9523809524,0,0,5.0
702,Startup,https://angel.co/company/miiskin,Miiskin,"
Miiskin is a platform that helps people with identifying changes on their skin
",2016-04-01,Copenhagen,Mobile Health,1-10,Seed,1000000,miiskin.com,4.1506849315068495,240924.09240924093,0,0,5.0
703,Startup,https://angel.co/company/deskyogi,Desk Yogi,"
Desk Yogi is the 5 minute online wellness solution designed for busy work life
",2016-10-01,Ojai,B2B,11-50,Seed,1000000,desk-yogi.com,3.649315068493151,274024.024024024,0,0,25.0
704,Startup,https://angel.co/company/styku,Styku,"
3D body scanning tech for fitness, health, and wellness
",2011-04-01,Los Angeles,Medical Devices,1-10,Seed,810000,styku.com,9.156164383561643,88464.99102333932,0,0,5.0
705,Startup,https://angel.co/company/beyond-lucid-technologies,Beyond Lucid Technologies,"
Connect Fire-EMS agencies across the care continuum in real-time, and over time (COVID-19)
",2011-07-01,Concord,Mobile Emergency&Health,1-10,Seed,955000,beyondlucid.com,8.906849315068493,107220.85512150108,0,0,5.0
706,Startup,https://angel.co/company/kinsights,Kinsights,"
Smarter Advice and Support for Parents
",2011-07-01,San Francisco,Health Care Information Technology,1-10,Acquired,820000,kinsights.com,8.906849315068493,92063.98031374962,0,0,5.0
707,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",2011-11-01,Baltimore,Mobile Health,1-10,Seed,870000,sickweather.com,8.56986301369863,101518.5421994885,0,0,5.0
709,Startup,https://angel.co/company/truvitals,TruVitals,"
Zero Contact Vital Signs Monitoring
",2014-01-01,Gainesville,Veterinary,1-10,Seed,870000,truvitals.co,6.4,135937.5,0,0,5.0
710,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",2013-08-01,Paris,Music Education,11-50,Seed,888350,meludia.com,6.8191780821917805,130272.29811169145,0,0,25.0
711,Startup,https://angel.co/company/fibroblast,Fibroblast,"
Automated, closed-loop healthcare referrals
",2013-03-01,Chicago,Startups,1-10,-,875000,fibroblast.com,7.238356164383561,120883.80015140046,0,0,5.0
712,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",2013-04-01,Boston,Communications Infrastructure,1-10,Acquired,890000,seratis.com,7.153424657534247,124415.93259287628,0,0,5.0
